,carat,cut,cut_ord,color,clarity,clarity_ord,,
279,0.32,Ideal,5,F,VVS1,7,,1391.66
280,0.42,Ideal,5,F,VS2,5,,1324.96
281,0.54,Ideal,5,G,VVS2,6,,2788.52
282,2.03,Very Good,3,I,VS2,5,,14553.69
283,0.4,Good,2,F,VS2,5,,682.4
284,0.57,Premium,4,H,VS1,4,,1974.81
285,0.72,Ideal,5,J,VVS1,7,,4756.86
286,1.3,Premium,4,I,SI1,3,,7662.3
287,1.01,Premium,4,E,VS2,5,,6130.53
288,0.39,Ideal,5,G,SI2,2,,-289.43
289,0.43,Ideal,5,F,VVS2,6,,1863.09
290,0.77,Premium,4,I,SI1,3,,3203.41
291,0.53,Ideal,5,F,VVS1,7,,3158.39
292,0.65,Very Good,3,I,IF,8,,4305.75
293,0.33,Premium,4,D,SI2,2,,-952.31
294,1.02,Premium,4,F,SI2,2,,4852.66
295,0.31,Premium,4,G,VVS1,7,,1149.43
296,0.36,Ideal,5,F,SI1,3,,-87.82
297,0.3,Very Good,3,H,VVS1,7,,907.2
298,0.9,Very Good,3,H,SI2,2,,3685
299,1.05,Ideal,5,G,SI1,3,,5717.15
300,1.5,Good,2,D,SI2,2,,8574.7
301,0.9,Very Good,3,H,VS1,4,,4593
302,0.72,Very Good,3,E,SI1,3,,2624.66
303,0.42,Premium,4,G,VS2,5,,1166.86
304,0.53,Premium,4,I,VVS1,7,,3000.29
305,0.51,Very Good,3,F,SI1,3,,857.93
306,0.51,Ideal,5,H,VS2,5,,2082.13
307,0.86,Premium,4,F,SI2,2,,3506.58
308,1.51,Premium,4,H,SI1,3,,9429.03
309,0.37,Ideal,5,F,VS1,4,,450.31
310,0.56,Premium,4,D,SI1,3,,1436.68
311,1.59,Premium,4,I,VS2,5,,11010.07
312,0.73,Ideal,5,H,SI1,3,,3024.99
313,0.31,Ideal,5,F,IF,8,,1761.53
314,0.4,Very Good,3,F,SI1,3,,-67.5
315,0.52,Ideal,5,F,VS2,5,,2166.26
316,1.04,Premium,4,H,SI1,3,,5474.92
317,1,Ideal,5,J,VS1,4,,5750.5
318,0.78,Ideal,5,F,SI1,3,,3445.64
319,0.76,Ideal,5,J,SI1,3,,3277.38
320,0.71,Premium,4,E,VS2,5,,3606.63
321,0.9,Ideal,5,G,SI2,2,,4001.2
322,1.01,Very Good,3,E,SI2,2,,4610.43
323,0.81,Very Good,3,G,SI2,2,,2927.83
324,0.36,Ideal,5,F,VVS2,6,,1274.18
325,0.61,Ideal,5,I,SI2,2,,1561.43
326,0.51,Ideal,5,E,VS2,5,,2082.13
327,0.24,Ideal,5,E,VVS2,6,,264.62
328,0.52,Ideal,5,H,IF,8,,3528.26
329,1,Premium,4,H,SI2,2,,4684.4
330,0.31,Ideal,5,H,VVS2,6,,853.53
331,1.08,Premium,4,H,VS1,4,,6265.44
332,0.7,Good,2,D,VS2,5,,3206.3
333,0.3,Very Good,3,F,VVS1,7,,907.2
334,0.3,Ideal,5,H,SI1,3,,-592.6
335,0.7,Very Good,3,G,VS2,5,,3364.4
336,0.72,Ideal,5,E,SI2,2,,2486.86
337,0.3,Ideal,5,H,VVS1,7,,1223.4
338,0.76,Premium,4,F,SI1,3,,3119.28
339,0.41,Very Good,3,D,SI1,3,,16.63
340,0.41,Premium,4,E,SI1,3,,174.73
341,0.4,Very Good,3,D,SI2,2,,-521.5
342,1.54,Good,2,E,SI1,3,,9365.22
343,0.55,Ideal,5,E,VVS2,6,,2872.65
344,0.57,Ideal,5,H,SI1,3,,1678.91
345,0.53,Ideal,5,E,VS2,5,,2250.39
346,0.33,Very Good,3,E,VS2,5,,251.59
347,1.53,Premium,4,D,SI2,2,,9143.29
348,0.52,Ideal,5,H,SI1,3,,1258.26
349,1.01,Very Good,3,F,VVS1,7,,6880.43
350,0.91,Very Good,3,D,SI1,3,,4223.13
351,0.54,Premium,4,F,VS2,5,,2176.42
352,0.53,Premium,4,H,SI1,3,,1184.29
353,1.02,Premium,4,G,VS2,5,,6214.66
354,0.3,Premium,4,H,VS1,4,,-296.7
355,2.05,Ideal,5,H,SI2,2,,13676.15
356,0.3,Premium,4,D,VS2,5,,157.3
357,0.3,Premium,4,H,VS1,4,,-296.7
358,0.9,Very Good,3,J,VS1,4,,4593
359,2.25,Ideal,5,I,SI2,2,,15358.75
360,0.42,Ideal,5,G,VVS1,7,,2232.96
361,0.7,Good,2,F,SI2,2,,1844.3
362,1.2,Very Good,3,I,SI1,3,,6662.9
363,1.52,Premium,4,G,SI1,3,,9513.16
364,0.33,Ideal,5,G,VVS1,7,,1475.79
365,1.21,Premium,4,J,VVS2,6,,8267.13
366,0.23,Very Good,3,E,VVS2,6,,-135.71
367,0.31,Ideal,5,H,VVS2,6,,853.53
368,0.5,Ideal,5,F,SI1,3,,1090
369,1.01,Very Good,3,H,SI1,3,,5064.43
370,0.76,Ideal,5,H,VS2,5,,4185.38
371,0.31,Premium,4,E,VVS2,6,,695.43
372,1.77,Ideal,5,D,SI2,2,,11320.51
373,0.4,Very Good,3,G,SI1,3,,-67.5
374,0.51,Very Good,3,G,VS2,5,,1765.93
375,0.54,Ideal,5,F,VVS1,7,,3242.52
376,0.3,Ideal,5,F,SI1,3,,-592.6
377,1.06,Ideal,5,I,SI2,2,,5347.28
378,0.81,Ideal,5,F,VS1,4,,4152.03
379,0.58,Ideal,5,D,SI1,3,,1763.04
380,0.53,Good,2,H,SI1,3,,868.09
381,0.3,Very Good,3,E,SI1,3,,-908.8
382,1.09,Premium,4,F,SI1,3,,5895.57
383,1.17,Ideal,5,I,SI2,2,,6272.71
384,1.53,Ideal,5,I,VS2,5,,10663.39
385,1.03,Good,2,E,SI2,2,,4620.59
386,0.35,Premium,4,I,SI1,3,,-330.05
387,1,Very Good,3,D,VS2,5,,5888.3
388,2.01,Premium,4,G,SI2,2,,13181.53
389,0.32,Premium,4,G,VS1,4,,-128.44
390,1.01,Ideal,5,F,SI2,2,,4926.63
391,0.4,Very Good,3,D,VS2,5,,840.5
392,1.12,Premium,4,D,SI2,2,,5693.96
393,1.24,Very Good,3,H,VVS2,6,,8361.42
394,0.52,Ideal,5,E,VS2,5,,2166.26
395,0.82,Very Good,3,F,VVS2,6,,4827.96
396,1.05,Good,2,G,SI2,2,,4788.85
397,1,Very Good,3,F,VS2,5,,5888.3
398,0.81,Very Good,3,J,SI1,3,,3381.83
399,1.02,Very Good,3,E,VS1,4,,5602.56
400,0.75,Fair,1,J,VS1,4,,3014.85
401,0.4,Very Good,3,D,SI2,2,,-521.5
402,2.04,Premium,4,F,SI2,2,,13433.92
403,0.52,Ideal,5,E,VS2,5,,2166.26
404,0.8,Very Good,3,F,VS2,5,,4205.7
405,1.01,Very Good,3,F,VS1,4,,5518.43
406,0.43,Premium,4,E,SI1,3,,342.99
407,1.13,Premium,4,G,VVS1,7,,8048.09
408,0.4,Ideal,5,F,IF,8,,2518.7
409,1.05,Premium,4,G,VS1,4,,6013.05
410,0.41,Good,2,E,VS2,5,,766.53
411,1.01,Ideal,5,G,VS2,5,,6288.63
412,0.7,Fair,1,G,SI1,3,,2140.2
413,0.55,Ideal,5,G,VVS1,7,,3326.65
414,0.53,Ideal,5,E,VS2,5,,2250.39
415,1.16,Ideal,5,F,VS2,5,,7550.58
416,0.3,Ideal,5,F,VS1,4,,-138.6
417,0.7,Ideal,5,F,VS2,5,,3680.6
418,0.33,Very Good,3,F,VVS2,6,,705.59
419,0.71,Premium,4,E,VS2,5,,3606.63
420,0.71,Premium,4,E,VS1,4,,3152.63
421,0.33,Ideal,5,G,IF,8,,1929.79
422,1.58,Ideal,5,I,SI1,3,,10176.04
423,1.63,Premium,4,I,VS1,4,,10892.59
424,0.38,Ideal,5,E,IF,8,,2350.44
425,1.29,Premium,4,I,VS1,4,,8032.17
426,1.1,Very Good,3,I,SI2,2,,5367.6
427,1.73,Premium,4,F,SI2,2,,10825.89
428,1.01,Fair,1,F,SI1,3,,4748.23
429,0.41,Very Good,3,E,SI2,2,,-437.37
430,0.9,Premium,4,I,VS2,5,,5205.1
431,0.3,Ideal,5,I,VS1,4,,-138.6
432,0.27,Ideal,5,E,VS1,4,,-390.99
433,0.28,Very Good,3,H,SI1,3,,-1077.06
434,1.17,Ideal,5,H,VS2,5,,7634.71
435,1.02,Premium,4,E,SI1,3,,5306.66
436,0.34,Ideal,5,E,VVS1,7,,1559.92
437,0.45,Good,2,F,VS1,4,,649.05
438,0.75,Ideal,5,G,SI2,2,,2739.25
439,0.31,Ideal,5,F,VVS2,6,,853.53
440,0.38,Ideal,5,D,VVS2,6,,1442.44
441,0.39,Premium,4,G,VS2,5,,914.47
442,0.54,Ideal,5,G,SI1,3,,1426.52
443,0.7,Premium,4,D,SI1,3,,2614.5
444,0.31,Ideal,5,E,IF,8,,1761.53
445,1.21,Ideal,5,F,VS2,5,,7971.23
446,0.33,Premium,4,G,VS1,4,,-44.31
447,1.11,Very Good,3,J,VS1,4,,6359.73
448,0.31,Ideal,5,F,VS2,5,,399.53
449,0.32,Very Good,3,F,VS2,5,,167.46
450,0.28,Very Good,3,E,VVS2,6,,284.94
451,2.17,Very Good,3,H,SI2,2,,14369.51
452,0.35,Good,2,H,VS2,5,,261.75
453,0.57,Ideal,5,F,VVS1,7,,3494.91
454,1.02,Ideal,5,I,SI1,3,,5464.76
455,0.77,Ideal,5,J,VS2,5,,4269.51
456,0.55,Ideal,5,F,SI2,2,,1056.65
457,0.91,Premium,4,G,SI1,3,,4381.23
458,1.01,Very Good,3,G,VS2,5,,5972.43
459,0.33,Ideal,5,G,VVS2,6,,1021.79
460,0.9,Good,2,H,VS2,5,,4888.9
461,0.31,Premium,4,G,VS2,5,,241.43
462,0.3,Ideal,5,D,VS1,4,,-138.6
463,0.39,Ideal,5,H,SI2,2,,-289.43
464,0.63,Very Good,3,G,VS1,4,,2321.49
465,0.71,Ideal,5,F,SI1,3,,2856.73
466,1.02,Ideal,5,G,VS2,5,,6372.76
467,0.56,Very Good,3,J,VS2,5,,2186.58
468,0.53,Ideal,5,E,VS1,4,,1796.39
469,0.92,Good,2,D,SI2,2,,3695.16
470,0.3,Ideal,5,G,VS1,4,,-138.6
471,0.52,Very Good,3,F,VVS2,6,,2304.06
472,0.36,Ideal,5,E,VS1,4,,366.18
473,2.02,Ideal,5,F,SI2,2,,13423.76
474,0.54,Ideal,5,D,VS2,5,,2334.52
475,0.76,Very Good,3,J,VS1,4,,3415.18
476,1.21,Very Good,3,F,VS2,5,,7655.03
477,0.3,Premium,4,F,VS2,5,,157.3
478,0.9,Very Good,3,E,SI1,3,,4139
479,0.36,Ideal,5,D,SI2,2,,-541.82
480,0.71,Ideal,5,I,SI1,3,,2856.73
481,1.09,Ideal,5,E,VS2,5,,6961.67
482,0.31,Ideal,5,D,VVS2,6,,853.53
483,0.3,Very Good,3,G,VS1,4,,-454.8
484,0.4,Ideal,5,I,VS2,5,,1156.7
485,0.3,Ideal,5,E,VVS2,6,,769.4
486,1.7,Premium,4,F,VS2,5,,11935.5
487,0.43,Very Good,3,E,SI1,3,,184.89
488,0.53,Ideal,5,F,VVS2,6,,2704.39
489,0.41,Ideal,5,G,VS1,4,,786.83
490,0.72,Premium,4,E,SI1,3,,2782.76
491,1,Good,2,G,VS2,5,,5730.2
492,0.37,Ideal,5,F,VVS2,6,,1358.31
493,0.5,Very Good,3,G,SI1,3,,773.8
494,0.31,Ideal,5,G,VVS1,7,,1307.53
495,1.01,Very Good,3,F,VS2,5,,5972.43
496,0.33,Ideal,5,E,VS2,5,,567.79
497,0.35,Good,2,I,SI1,3,,-646.25
498,0.3,Ideal,5,E,VVS2,6,,769.4
499,0.37,Premium,4,J,VS2,5,,746.21
500,1.21,Ideal,5,G,VS2,5,,7971.23
501,1.05,Ideal,5,E,VVS2,6,,7079.15
502,1.11,Premium,4,D,VS2,5,,6971.83
503,0.57,Ideal,5,D,VS2,5,,2586.91
504,1.01,Very Good,3,E,SI2,2,,4610.43
505,0.51,Ideal,5,I,VS2,5,,2082.13
506,0.52,Ideal,5,G,VS1,4,,1712.26
507,0.58,Ideal,5,G,SI1,3,,1763.04
508,0.26,Very Good,3,E,VVS1,7,,570.68
509,0.85,Fair,1,H,I1,1,,2494.15
510,0.43,Ideal,5,G,VVS1,7,,2317.09
511,0.25,Ideal,5,G,VVS1,7,,802.75
512,0.78,Ideal,5,H,SI1,3,,3445.64
513,1,Ideal,5,D,SI1,3,,5296.5
514,0.31,Good,2,D,SI2,2,,-1436.77
515,0.44,Premium,4,G,VS2,5,,1335.12
516,0.5,Premium,4,G,VVS2,6,,2293.9
517,1.82,Very Good,3,G,SI1,3,,11878.96
518,0.4,Very Good,3,D,VVS2,6,,1294.5
519,0.33,Premium,4,H,VS2,5,,409.69
520,0.71,Premium,4,G,SI1,3,,2698.63
521,2.03,Very Good,3,I,VS2,5,,14553.69
522,0.25,Ideal,5,H,VS1,4,,-559.25
523,1.1,Premium,4,F,VS2,5,,6887.7
524,0.91,Very Good,3,G,VS1,4,,4677.13
525,0.54,Ideal,5,D,VS1,4,,1880.52
526,0.9,Good,2,D,SI1,3,,3980.9
527,1.09,Good,2,H,SI1,3,,5579.37
